label,text
ham,"Hey, are we still meeting for lunch today?"
ham,"Don't forget to bring the documents for the meeting tomorrow."
ham,"I'll call you back in a few minutes."
ham,"Can you send me the report when you are done?"
ham,"See you at the office around 10."
ham,"Thanks for your help yesterday, I really appreciate it."
ham,"Let's catch up this weekend if you're free."
ham,"I'm running a bit late but will be there soon."
ham,"Happy birthday! Hope you have a great day."
ham,"Please review the attached file and let me know your thoughts."
ham,"What time is the meeting scheduled for?"
ham,"I'll be there in about 15 minutes."
ham,"Can we reschedule our appointment to next week?"
ham,"Thanks for the update, I'll check it out."
ham,"See you later at the coffee shop."
ham,"Did you receive my email from yesterday?"
ham,"I'm looking forward to our discussion tomorrow."
ham,"Let me know if you need any help with that project."
ham,"The weather is really nice today, isn't it?"
ham,"I hope you're having a good day."
ham,"Can you please send me the file when you get a chance?"
ham,"I'll finish this task by the end of the day."
ham,"What's your plan for the weekend?"
ham,"Thanks for understanding, I really appreciate it."
ham,"I'll get back to you as soon as possible."
ham,"Have a great evening!"
ham,"Looking forward to hearing from you."
ham,"Let me know what you think about this idea."
ham,"I'll make sure to bring everything we need."
ham,"Can we discuss this in person tomorrow?"
spam,"CONGRATULATIONS! You've won a FREE vacation. Reply NOW to claim!!!"
spam,"You have been selected for a $1000 gift card. Click this link to win."
spam,"URGENT: Your account has been blocked. Click here to restore access."
spam,"WIN a brand new iPhone!!! Limited time offer, act fast!"
spam,"Get cheap meds online with NO prescription. Visit our site now."
spam,"You have won a lottery prize of $5,000,000. Send your bank details to claim."
spam,"Earn $$$ working from home. No experience needed. Sign up TODAY!"
spam,"Final notice: Your car warranty is about to expire. Call now!"
spam,"Exclusive deal just for you!!! Claim your free prize inside."
spam,"This is not spam. You really won a free cruise. Reply YES to confirm."
spam,"Click here to claim your $500 Amazon gift card now!"
spam,"Your PayPal account needs verification. Click immediately to avoid suspension."
spam,"FREE MONEY! Transfer $1000 to your account today. No strings attached!"
spam,"URGENT: Your package delivery failed. Click to reschedule now."
spam,"You've been chosen! Win a luxury car worth $50,000. Enter now!"
spam,"Limited time: Get 90% off on all products. Shop now before it's too late!"
spam,"Your Netflix subscription expired. Click here to renew and get 3 months free."
spam,"Congratulations! You're the 1 millionth visitor. Claim your prize now!"
spam,"Earn $5000 per week from home. No experience required. Start today!"
spam,"Your bank account has been compromised. Verify your details immediately."
spam,"WINNER! You've won $10,000 cash prize. Reply with your bank account number."
spam,"Get instant loans approved in 5 minutes. No credit check required!"
spam,"Your social security number needs verification. Click here to update."
spam,"FREE iPhone 15 Pro Max! You're our lucky winner. Claim before midnight!"
spam,"Make $1000 daily working online. Join our exclusive program now!"
spam,"URGENT: Your email storage is full. Upgrade now to avoid account deletion."
spam,"You've inherited $2 million from a distant relative. Claim your inheritance!"
spam,"Get prescription drugs without a doctor. Order now and save 80%!"
spam,"Your credit card has been charged $500. Click here to dispute the charge."
spam,"Congratulations! You've been selected for a free trip to Hawaii. Book now!"
spam,"Earn passive income of $3000/month. Sign up for our investment program!"
spam,"Your account will be closed in 24 hours unless you verify your identity."
spam,"Get rich quick! Invest $100 and make $10,000 in one week guaranteed!"
